id,walk_m,straight_line_m,routing_penalty_m,routing_method
08f2759b8e2b68a0038afede5a9bd67c,17.8,22.53,0.0,osrm
08f2664ca6a81949033c8340df53688f,7.6,22.67,0.0,osrm
08f2640c906088280346d2365a0f0538,396.6,15.28,381.32,osrm
08f2a1482478cb64037a0d0c7d6c41ef,10.4,25.16,0.0,osrm
08f2aa85992aa55b03c1bebc5b936a34,25.7,23.65,2.05,osrm
08f2a9811a2d6a860356d7f4630de064,3.6,20.77,0.0,osrm
08f489c0a35ab63203e9b0cd0f7c2d30,140.5,74.77,65.73,osrm
08f264d10612b70903be5018ce638a38,24.6,24.61,0.0,osrm
08f44d075a9a3658036bc19f809d154f,27.8,28.05,0.0,osrm
08f2a106326a20db0334caa09472fe9b,13.8,20.1,0.0,osrm
08f444d7121a600a03f700901254f636,26.6,21.95,4.65,osrm
08f28c20cb65a8a103a1a39dc2feb781,17.4,17.53,0.0,osrm
08f444dae33b035b0391b3685a4ccc62,0.2,22.18,0.0,osrm
08f44dc19859d59503364149e1e1079e,12.2,21.74,0.0,osrm
08f2995775b01ba5035873156468b51a,37.7,21.12,16.58,osrm
08f264635c64c06003513bc6fc0835a1,28.8,26.46,2.34,osrm
08f44ad8c68507a8037735bc77ec3f05,21.8,23.34,0.0,osrm
08f2aa4b2cc11b5303ac1aa341ea05f1,14.2,19.31,0.0,osrm
08f44ae90e74862c038d556f008a26ee,40.3,23.49,16.81,osrm
08f268cd19c168ea03bf22a91ee837c6,117.1,20.37,96.73,osrm
08f29a4c5bd6845e03ce47d467a58886,25.7,25.67,0.03,osrm
08f2ad319c8f511203b277701fa7b522,30.4,30.84,0.0,osrm
08f44c166388d99403e215ae8ba0fa97,399.9,25.25,374.65,osrm
08f2ab2c9038e406038a64c3d19d7038,54.1,22.49,31.61,osrm
08f268004155614903293b6d5507d2a8,17.5,23.19,0.0,osrm
08f2680041549ca803b172e92396c2ef,113.2,19.97,93.23,osrm
08f2a3332bb2a42e0316ca026a391d1b,19.6,19.84,0.0,osrm
08f28d42c96a800403254a64a408c356,17.9,17.7,0.2,osrm
08f44a1bb0b32b6803ed387b42ea2a57,23.1,23.85,0.0,osrm
